file name,expected,extracted,status
3e9722ae_2bb1_11eb_a46b_172adadd57f0_pdf.pdf,18073-1825,18073-1825,True
29_7_PDF_decpage120_State_Farm_Mutual_Automobile_Insurance_Company_Dec.pdf,12721-0733,12721-0733,True
adac0498_2ade_11eb_9847_dd33a91edc74_pdf.pdf,11725-4725,11725-4725,True
c9f44298_2db9_11eb_a46b_6324b6d997f6_pdf.pdf,16335-1038,16335-1038,True
e60d9efb_2bb1_11eb_9847_dfb96dead1d2_pdf.pdf,11803-2217,11803-2217,True
County_mutual73_7_PDF_amend_53.pdf,36305,36305,True
RENEWAL_STATE_FARM_FIRE_AND_CASUALTY_COMPANY_103_7_PDF_renew_221.pdf,35044-1111,35044-1111,True
7_7_PDF_bin_1Statefarm_mutual.pdf,14072-2308,14072-2308,True
6_7_PDF_cancel76_FIRST_ACCEPTANCE_INS_CI_INC_CANCEL.pdf,95621-5514,95621-5514,True
6d6cbed3_2baa_11eb_a46b_971c2ff47489_pdf.pdf,48602,48602,True
7_7_PDF_bin_1statefarm_mutual_2.pdf,52569-8509,52569-8509,True
63_7_PDF_cancel63_AMICA_MUTUAL_INS_CO_CANCEL.pdf,02038,02038,True
RENEWAL_STATE_FARM_FIRE_AND_CASUALTY_COMPANY_8_7_PDF_renew_219.pdf,13032-4644,13032-4644,True
188_AMERICAN_FREEDOM_INSURANCE_COMPANY_08_10_2020_REINST_27_PDF_reinst27.pdf,60133,60133,True
Amica_Dec_116_7_PDF_dec_91.pdf,11784,11784,True
3b33b194_2a47_11eb_b3c4_7f4fc0b3049d_pdf.pdf,11795-2615,11795-2615,True
19_STATE_FARM_FIRE_CASUALTY_COMPANY_RENEWAL_DOCUMENT_21_10_2020_PDF_renew_1.pdf,32571-8943,32571-8943,True
6_7_PDF_binder4_state_farm_ins_com.pdf,12025-0958,12025-0958,True
187_AMERICAN_FREEDOM_INSURANCE_COMPANY_08_10_2020_REINST_27_PDF_reinst27.pdf,60169,60169,True
101_amend_35_DB_insurance_endo.pdf,11375,11375,True
6d1e7179_29d0_11eb_b3c4_85f468a434bd_pdf.pdf,13029-8635,13029-8635,True
Farm_Bureau_Ins_29_PDF_ID_1.pdf,280929504,280929504,True
6_7_PDF_binder4_state_farm_ins_com_5.pdf,73010-5225,73010-5225,True
101_amend186_American_national_amend.pdf,97754-8026,97754-8026,True
Amica_Dec_114_7_PDF_dec_91.pdf,11746,11746,True
61_7_PDF_cancel_52_Amica_Mutual_Insurance_Company_Notice.pdf,80918,80918,True
Erie_Insurance_Exchange.pdf,22902-0595,22902-0595,True
MORTGAGEE_DEC_ALLSTATE_INSURANCE_COMPANY_12_7_PDF_decpage131.pdf,36580-3944,36580-3944,True
6_7_PDF_binder4_state_farm_ins_com_3.pdf,46601-1164,46601-1164,True
acde5157_2a3b_11eb_a46b_717ba6bd48f9_pdf.pdf,77386-4417,77386-4417,True
29_7_PDF_decpage119_Erie_Insurance_Exchange_Dec.pdf,17331-2357,17331-2357,True
61_7_PDF_cancel_52_Amica_Mutual_Insurance_Company_Notice_2.pdf,80918,80918,True
e5770fac_2b5d_11eb_9847_6b2a64503d06_pdf.pdf,55107-3335,55107-3335,True
18_7_PDF_renew_170.pdf,11758-4651,11758-4651,True
29_7_PDF_decpage119_Erie_Insurance_Company_of_New_York_Dec.pdf,13031-2165,13031-2165,True
6_7_PDF_binder4_state_farm_ins_com_2.pdf,05483-9694,05483-9694,True
60_7_PDF_ITC10_ERIE_INSURANCE_EXCHANGE_INTENT_TO_CANCEL.pdf,19605-2741,19605-2741,True
100_amend186_Statefarm_amend.pdf,11772-1536,11772-1536,True
83_THE_TRAVELLERS_HOME_AND_MARINE_INSURANCE_COMPANY_DECLARATION_DOCUMENT_03_10_2020_AMEND_14_PDF_amend_14.pdf,723642108,723642108,True
59018699_2bb1_11eb_a46b_3de2c0f8044b_pdf.pdf,19154-1752,19154-1752,True
COUNTRY_MUTUAL_ENDORSEMENT_123_7_PDF_amend194.pdf,98371,98371,True
39d511c8_2bb2_11eb_a46b_6f5b6a645e8b_pdf.pdf,97477-3130,97477-3130,True
c8b26251_2dbb_11eb_a46b_fd4b5885d694_pdf.pdf,28532 | 27527,28532 | 27527,True
6_7_PDF_bin_1Statefarm_mutual.pdf,14120-1855,14120-1855,True
5_7_PDF_cancel78_The_Travelers_Insurance_Companies_CANCELLATION.pdf,76179-4586,76179-4586,True
e52f4cea_2bb1_11eb_9847_0d6372b50468_pdf.pdf,53719-3248,53719-3248,True
aba7124c_2b60_11eb_b3c4_7760f2fa6428_pdf.pdf,55016-2342,55016-2342,True
6_7_PDF_bin_1Statefarm_Automobile.pdf,13601-0171,13601-0171,True
ALLSTATE_VEHICLE_PROPERTY_IN_CO_RENEWAL_52_7_PDF_amend201.pdf,10940-3152,10940-3152,True
Allstate_vehicle_and_Property_Insurance_Company_Renewal_327_328_7_PDF_renew_16.pdf,53185-2895,53185-2895,True
5_7_PDF_cancel78_First_Acceptance_Insurance_Company_Cancellation.pdf,36301-2787,36301-2787,True
6c793a73_2b64_11eb_b3c4_7bbcd6e48833_pdf.pdf,62610,62610,True
Hartford_Accident_and_Indemnity_2_7_PDF_amend_3.pdf,83858,8536,False
73dbeb37_29d4_11eb_9847_13fca39c1afe_pdf.pdf,35462-1056,35462-1056,True
5_7_PDF_cancel78_First_Acceptance_Insurance_Company_Cancellation_2.pdf,32207-2543,32207-2543,True
5_7_PDF_binder4_state_farm_ins_com.pdf,13753-1486,13753-1486,True
